taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Candidatus Lokiarchaeota;NA;NA;NA;Lokiarchaeum;	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;	0	0	0	0	0	0	0	0.000354	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;	0	0.00038	0.00019	0	0	0.000278	0	0.000354	0	0	0	0	0	0.0002785	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;	0	0	0	0.000278	0.000278	0.000278	0.000405	0.000607	0	0	0	0	0	0	0.000557	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;	0	0.000329	0.0001645	0.000329	0.000278	0	0.000405	0.000278	0.000354	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;	0.000354	0.000455	0.0004045	0.00043	0	0.000481	0.000633	0.00086	0.00043	0	0.000506	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;	0	0.000304	0.000152	0	0	0.000405	0.000329	0.000304	0	0	0	0	0.000355	0.0001775	0	0	0	0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus;	0	0	0	0	0	0	0	0.000405	0	0	0	0	0	0	0	0	0	0
