geneID	Acir.mT19_11-3-1-1	Acir.mT19_11-3-1-2	Acir.mT19_11-3-2-1	Acir.mT19_11-3-2-2	Acir.mT19_11-3-3-1	Acir.mT19_11-3-3-2	Acir.mT19_12-4-1-1	Acir.mT19_12-4-1-2	Acir.mT19_12-4-2-1	Acir.mT19_12-4-2-2	Acir.mT19_12-4-3-1	Acir.mT19_12-4-3-2	Acir.mT19_6-15-1-1	Acir.mT19_6-15-1-2	Acir.mT19_6-15-2-1	Acir.mT19_6-15-2-2	Acir.mT19_6-15-3-1	Acir.mT19_6-15-3-2	Acir.mT19_7-23-1-1	Acir.mT19_7-23-1-2	Acir.mT19_7-23-2-1	Acir.mT19_7-23-2-2	Acir.mT19_7-23-3-1	Acir.mT19_7-23-3-2	Acir.mT19_9-10-1-1	Acir.mT19_9-10-1-2	Acir.mT19_9-10-2-1	Acir.mT19_9-10-2-2	Acir.mT19_9-10-3-1	Acir.mT19_9-10-3-2	Acir.mT19_9-29-1-1	Acir.mT19_9-29-1-2	Acir.mT19_9-29-2-1	Acir.mT19_9-29-2-2	Acir.mT19_9-29-3-1	Acir.mT19_9-29-3-2
ACIR310F_RS0110720_ACIR310F_RS0110720	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0117045_ACIR310F_RS0117045	87.00	100.00	73.00	52.00	50.00	46.00	150.00	200.00	82.00	80.00	271.00	219.00	63.00	3.00	4.00	31.00	6.00	40.00	16.00	0.00	24.00	44.00	41.00	51.00	59.00	49.00	40.00	49.00	106.00	73.00	43.00	25.00	52.00	75.00	47.00	46.00
ACIR310F_RS0108885_ACIR310F_RS0108885	0.00	0.00	0.00	0.00	9.00	7.00	0.00	0.00	6.00	4.00	38.00	36.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.00	35.00	2.00	0.00	9.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0117245_ACIR310F_RS0117245	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	0.00	16.00	12.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	20.00	13.00	2.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0119790_ACIR310F_RS0119790	1.00	0.00	0.00	0.00	4.00	20.00	0.00	0.00	21.00	35.00	64.00	54.00	0.00	0.00	0.00	0.00	6.00	8.00	0.00	0.00	231.00	240.00	23.00	13.00	4.00	6.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0106405_ACIR310F_RS0106405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0116085_ACIR310F_RS0116085	0.00	0.00	0.00	0.00	1.00	10.00	0.00	0.00	1.00	5.00	13.00	8.00	1.00	0.00	0.00	0.00	0.00	21.00	0.00	0.00	54.00	21.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0112285_ACIR310F_RS0112285	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	1.00	11.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	21.00	3.00	1.00	1.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0114160_ACIR310F_RS0114160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0100120_ACIR310F_RS0100120	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
