ko_pathway
ko00130  Ubiquinone and other terpenoid-quinone biosynthesis
ko00230  Purine metabolism
ko00240  Pyrimidine metabolism
ko00250  Alanine
ko00260  Glycine
ko00270  Cysteine and methionine metabolism
ko00280  Valine
ko00300  Lysine biosynthesis
ko00330  Arginine and proline metabolism
ko00340  Histidine metabolism
ko00400  Phenylalanine
ko00410  beta-Alanine metabolism
ko00430  Taurine and hypotaurine metabolism
ko00471  D-Glutamine and D-glutamate metabolism
ko00480  Glutathione metabolism
ko00520  Amino sugar and nucleotide sugar metabolism
ko00564  Glycerophospholipid metabolism
ko00620  Pyruvate metabolism
ko00630  Glyoxylate and dicarboxylate metabolism
ko00680  Methane metabolism
ko00730  Thiamine metabolism
ko00750  Vitamin B6 metabolism
ko00780  Biotin metabolism
ko00785  Lipoic acid metabolism
ko00790  Folate biosynthesis
ko00860  Porphyrin and chlorophyll metabolism
ko00970  Aminoacyl-tRNA biosynthesis
