taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;Candidatus Bathyarchaeota archaeon B26-1;	0	0	0	0	0.000708	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;Candidatus Bathyarchaeota archaeon RBG_13_52_12;	0	0	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;miscellaneous Crenarchaeota group-1 archaeon SG8-32-1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002405	0.000481	0	0	0
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;miscellaneous Crenarchaeota group-15 archaeon DG-45;	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Lokiarchaeota;NA;NA;NA;Lokiarchaeum;Lokiarchaeum sp. GC14_75;	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Lokiarchaeota;NA;NA;NA;NA;Candidatus Lokiarchaeota archaeon CR_4;	0	0	0	0	0	0.000329	0	0	0	0	0	0	0	0.0003035	0.000607	0	0	0
Archaea;Candidatus Micrarchaeota;NA;NA;NA;NA;Candidatus Micrarchaeota archaeon CG1_02_51_15;	0	0.000354	0.000177	0	0	0	0	0	0	0	0	0.000329	0	0	0	0	0	0
Archaea;Candidatus Odinarchaeota;NA;NA;NA;NA;Candidatus Odinarchaeota archaeon LCB_4;	0	0	0	0.000304	0	0.000304	0	0	0	0	0	0.000531	0	0	0	0	0	0
Archaea;Candidatus Thorarchaeota;NA;NA;NA;NA;Candidatus Thorarchaeota archaeon AB_25;	0	0	0	0	0	0	0	0	0	0.000304	0	0	0	0	0	0	0	0
Archaea;Candidatus Thorarchaeota;NA;NA;NA;NA;Candidatus Thorarchaeota archaeon SMTZ-45;	0	0	0	0	0	0.000405	0.00038	0.00081	0	0	0	0	0.000533	0.001051	0.001569	0.000152	0	0.000304
Archaea;Candidatus Thorarchaeota;NA;NA;NA;NA;Candidatus Thorarchaeota archaeon SMTZ1-45;	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Thorarchaeota;NA;NA;NA;NA;Candidatus Thorarchaeota archaeon SMTZ1-83;	0	0	0	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum ferrireducens;	0	0.000354	0.000177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Candidatus Thalassoarchaea;NA;NA;NA;uncultured Candidatus Thalassoarchaea euryarchaeote;	0	0	0	0	0	0.000455	0.000354	0.000354	0	0	0	0	0	0.000177	0.000354	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halapricum;Halapricum salinum;	0	0	0	0	0	0	0	0	0.000329	0.000557	0.00038	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula sp. CBA1127;	0	0	0	0	0.000455	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex carlsbadense;	0	0.000329	0.0001645	0.000329	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haladaptatus;Haladaptatus litoreus;	0	0	0	0.000455	0	0	0	0	0.00038	0	0.000304	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haladaptatus;Haladaptatus sp. W1;	0	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;Halalkalicoccus jeotgali;	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium jilantaiense;	0	0	0	0	0	0.001164	0.000329	0	0	0	0.000329	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;Halococcus;Halococcus hamelinensis;	0	0	0	0	0.000329	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;Halococcus;Halococcus saccharolyticus;	0	0	0	0	0	0	0.000354	0.000304	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;Candidatus Halobonum;Candidatus Halobonum tyrrellensis;	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;NA;haloarchaeon 3A1_DGR;	0	0	0	0	0	0	0	0	0	0.000329	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halobellus;Halobellus clavatus;	0	0	0	0	0	0	0	0	0	0	0	0.000304	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halogeometricum;Halogeometricum limi;	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;Haloplanus natans;	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloquadratum;Haloquadratum walsbyi;	0	0	0	0	0.000557	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halolamina;Halolamina pelagica;	0	0.000329	0.0001645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halolamina;Halolamina sediminis;	0.000329	0.000557	0.000443	0.000506	0.000784	0.000354	0.000708	0.00043	0.000329	0.000405	0.000329	0	0	0.000152	0.000304	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halopenitus;Halopenitus sp. DYS4;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0.000531	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum aidingense;	0	0	0	0	0	0	0.000329	0	0.000354	0.000481	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum lipolyticum;	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum tebenquichense;	0	0	0	0	0	0	0	0	0	0.000354	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum tropicale;	0	0	0	0	0.000329	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;Natrinema salaciae;	0	0.00038	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;Salinarchaeum sp. Harcht-Bsk1;	0	0.00043	0.000215	0	0	0	0	0	0.000329	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium congolense;	0	0	0	0.000455	0	0.000405	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium formicicum;	0.000481	0	0.0002405	0.000329	0	0	0.000278	0.000304	0.00038	0.00038	0.000304	0.00043	0.000635	0.00052	0.000405	0.000139	0.000278	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp. MB1;	0	0	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp. SMA-27;	0	0	0	0	0.000759	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis;	0	0	0	0	0	0	0	0.000354	0	0	0	0	0	0.000139	0.000278	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella arvoryzae;	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella paludicola;	0	0	0	0	0	0.00043	0	0.000304	0	0	0	0	0	0.000139	0.000278	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus marisnigri;	0	0	0	0.000304	0	0.000304	0	0	0	0.000506	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus sp. MAB1;	0	0	0	0	0	0.000278	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus sp. MH98A;	0	0	0	0	0.001518	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus sp. SDB;	0	0	0	0	0	0.000278	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus thermophilus;	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;Methanofollis ethanolicus;	0	0	0	0	0	0	0	0	0	0.000481	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;Methanolacinia paynteri;	0	0	0	0	0	0	0.00038	0	0	0	0	0	0.000355	0.0003295	0.000304	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium;Methanomicrobium mobile;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;Methanoplanus limicola;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;Methanolinea sp. SDB;	0	0.000784	0.000392	0.000557	0	0.000329	0	0	0	0	0	0.000278	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;Methanolinea tarda;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula boonei;	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica;	0	0	0	0	0	0	0.000405	0.000329	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;Methanosphaerula palustris;	0	0	0	0	0	0.000278	0	0.000354	0	0	0	0.000278	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;Methanospirillum hungatei;	0	0.000329	0.0001645	0.000329	0	0.000455	0.000481	0.000708	0.000304	0.00043	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Candidatus Methanoperedenaceae;Candidatus Methanoperedens;Candidatus Methanoperedens nitroreducens;	0	0.00043	0.000215	0	0	0.000531	0.000506	0.000455	0	0.000278	0	0	0.000279	0.000342	0.000405	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Candidatus Methanoperedenaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1;	0	0	0	0	0.000734	0.000304	0.000506	0.000405	0.000304	0	0.00038	0	0.000432	0.0006715	0.000911	0.000329	0.00038	0.000278
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta concilii;	0	0	0	0	0.000557	0.00038	0.000506	0.000329	0	0	0	0	0	0	0	0.000152	0.000304	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta harundinacea;	0	0.000455	0.0002275	0.000531	0.00038	0.000455	0.00038	0.000455	0.000329	0	0	0	0	0.00019	0.00038	0.00019	0	0.00038
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides methylutens;	0	0	0	0	0	0	0	0.000329	0	0	0	0	0	0.000177	0.000354	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis;	0	0	0	0	0	0	0	0.000354	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus psychrophilus;	0	0.000304	0.000152	0.000304	0	0	0.000354	0	0	0	0	0	0	0	0	0.000392	0.000329	0.000455
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus sp. T82-4;	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus vulcani;	0	0	0	0	0.000304	0	0	0	0	0	0	0	0.000305	0.0001525	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica;	0	0	0	0.000304	0.000557	0	0.000329	0.000278	0	0	0	0	0	0	0	0.000215	0	0.00043
