ko_pathway
ko03010  Ribosome
ko00230  Purine metabolism
ko00190  Oxidative phosphorylation
ko02010  ABC transporters
ko02020  Two-component system
ko00860  Porphyrin and chlorophyll metabolism
ko00240  Pyrimidine metabolism
ko00195  Photosynthesis
ko00970  Aminoacyl-tRNA biosynthesis
ko03018  RNA degradation
ko00010  Glycolysis / Gluconeogenesis
ko03060  Protein export
ko00270  Cysteine and methionine metabolism
ko00260  Glycine
ko00790  Folate biosynthesis
ko00400  Phenylalanine
ko00330  Arginine and proline metabolism
ko04112  Cell cycle - Caulobacter
ko00061  Fatty acid biosynthesis
ko00340  Histidine metabolism
ko00250  Alanine
ko00030  Pentose phosphate pathway
ko00920  Sulfur metabolism
ko00520  Amino sugar and nucleotide sugar metabolism
ko00550  Peptidoglycan biosynthesis
ko00910  Nitrogen metabolism
ko03030  DNA replication
ko00730  Thiamine metabolism
ko00760  Nicotinate and nicotinamide metabolism
ko02040  Flagellar assembly
ko00740  Riboflavin metabolism
ko03430  Mismatch repair
ko00052  Galactose metabolism
ko00680  Methane metabolism
ko04068  FoxO signaling pathway
ko00361  Chlorocyclohexane and chlorobenzene degradation
ko00510  N-Glycan biosynthesis
ko04120  Ubiquitin mediated proteolysis
ko04962  Vasopressin-regulated water reabsorption
