X	Temp	pH	Chl	PC	DO	DTN	NH4_N	NO3_N	NO2_N	DTP	Pi	MC	ACmGtotal	ACmGrelative	ACmTtotal_rep1	ACmTtotal_rep2	ACmTrelative_rep1	ACmTrelative_rep2	MARmGtotal	MARmGrelative	MARmTtotal_rep1	MARmTtotal_rep2	MARmTrelative_rep1	MARmTrelative_rep2	DOmGtotal	DOmGrelative	DOmTtotal_rep1	DOmTtotal_rep2	DOmTrelative_rep1	DOmTrelative_rep2
1	mG19_11-3-3	19.931	7.4	14.01	1.15	11.78	1.6728	0.1737	0.9171	0.0286	0.0785	0.0276707	4.2948024	18838	0.0116204812987698	86487	113499.01	0.00331510937365603	0.00431360058583388	1326486.94	0.818261847294427	9657828	8210561.96	0.370191544763463	0.312047522535054	17378	0.0107198600706032	89098	115444	0.00341519089544099	0.00438752114252808
2	mG19_12-4-2	10.146	7.1	1.19	0.16	10.22	2.2785	0.516	1.1494	0.0299	0.1023	0.0556318	1.1874795	59785	0.0177669128729583	123168	128077	0.00510244684050177	0.0048933394733294	4487024	1.33345428563808	7874111.06	7023298.05	0.326198631948696	0.268333749080806	54873	0.0163071641729169	125174.98	133613	0.00518558944864633	0.00510484916924944
3	mG19_12-4-3	9.308	7.3	2.33	0.33	12.05	0.8297	0.1424	0.1988	0.0054	0.0651	0.038246	22.98841	146257	0.0412415378705736	358987	354897	0.0133170006832351	0.0124178921609792	5316196.05	1.49906056273183	14442346.94	15291719.9	0.535754063705645	0.53505926698197	133787	0.0377252482075417	361556	355480.01	0.0134123004427117	0.0124382917566613
4	mG19_6-15-1	25.52	8	10.85	7.34	5.87	1.2535	0.1089	0.3434	0.0263	0.6996	0.670196	25.456808	7385	0.00164071697443348	7134	111382	0.000276879695461832	0.00429927993951009	5538723.04	1.23053174115285	13360208.85	16211655	0.518526851372928	0.625760384332822	6889	0.00153052122367938	7190	278075	0.000279053127329769	0.0107335320714233
5	mG19_6-15-2	26.573	6.9	4.45	0.76	5.19	1.5372	0.1644	0.6693	0.0653	0.2239	0.1905985	14.658668	10297	0.00779559594632039	94211	3016	0.0034734231384893	0.000137602019282259	1440847.02	1.09082851203067	17566664.06	9890357.01	0.647657464755416	0.451237763925213	9486	0.00718160854101148	315661	3111	0.0116379639460219	0.000141936300393603
6	mG19_7-23-1	32.481	8	7.93	7.88	13.46	1.107	0.1444	0.217	0.029	0.3969	0.363959	2.5576422	107238	0.0262957532939576	13437	8105	0.000525886289819194	0.000319619330813737	3316514.98	0.813240266601343	11756355.93	8369259.06	0.460110620065609	0.330040343018384	98790	0.0242242252551341	13193	7572	0.000516336817859986	0.000298600564209946
7	mG19_7-23-3	30.747	8	9.6	2.4	10.89	0.7874	0.0666	0.1994	0.1291	0.1271	0.0885367	2.2292474	32573	0.0247769368272924	59607.01	33051	0.0024852099451075	0.00131973468744797	888320.07	0.675708416688853	10535607.04	11376388.03	0.439263693876821	0.45426201630991	30313	0.0230578480964515	59704	32299	0.00248925377338501	0.0012897071395686
8	mG19_9-10-1	29.327	7.8	8.2	2.21	11.47	1.5795	0.0543	0.8916	0.1132	0.1704	0.1446669	4.1023326	6620	0.00429542046213079	37706	37058	0.0014591827995838	0.00139675511676802	933249	0.605543330946087	7777682.96	7288173.96	0.300988203358829	0.274698965689606	6176	0.00400732881784286	37224.01	36139.01	0.00144053029023326	0.00136211741411924
9	mG19_9-10-2	31.238	7.2	8.56	1.11	10.12	1.5885	0.2868	0.7421	0.0722	0.2181	0.1902321	4.4122416	3402	0.00152067307439799	3449	4498	0.000140758251518875	0.000184340492380914	1014889.01	0.453649144917529	5916837.01	6010479.88	0.241473943766242	0.246326105052196	3129	0.00139864375361297	2948	3930	0.000120311778914944	0.000161062279914849
10	mG19_9-10-3	32.182	8	11.19	3.23	14.35	0.5851	0.0563	0.0297	0.0017	0.1327	0.1013159	3.521661	1998	0.00126040579956993	1796	1745	7.41357652065829e-05	6.97137111568785e-05	1477851.99	0.93227888843942	11132950.06	12514162.05	0.459548870659673	0.499947666775971	1775.01	0.00111973618533264	966	623	3.98748046712467e-05	2.48891931522838e-05
11	mG19_9-29-1	26.763	8	10.1	11.26	17.75	0.9392	0.0741	0.2228	0.0282	0.125	0.1090693	69.07902	1632	0.00125326563241535	12445	39320	0.000604489552895337	0.00159324109202171	1273715.1	0.978127059018675	8759720.93	7744240.01	0.425484916710617	0.313795559776465	1442	0.00110735848158268	11676	38764	0.000567137004387783	0.00157071204707857
12	mG19_9-29-2	26.465	8.1	8.63	2.56	14.04	0.8116	0.0431	0.1754	0.0221	0.272	0.2577677	74.13543	1302	0.00131761538938343	1897	2625	7.61895000346206e-05	0.000109100979252984	926659	0.937772779654885	11011899.05	12060145.02	0.442272579362791	0.501247097758093	1220	0.00123463193168033	938	980	3.76730369174877e-05	4.07310322544473e-05
13	mG19_9-29-3	27.457	7.8	16.76	12.58	16.23	0.7493	0.063	0.0314	0.0043	0.1264	0.0882921	60.678855	1851	0.00161793451123802	1794	2209	7.4309271709491e-05	8.3163692952869e-05	1503258.95	1.31397867883978	11435336.07	12759047	0.47366304075528	0.480348332765607	1790	0.00156461522156459	1787	2083	7.40193247184283e-05	7.84200871076624e-05
