geneID	Acir.mT19_11-3-1-1	Acir.mT19_11-3-1-2	Acir.mT19_11-3-2-1	Acir.mT19_11-3-2-2	Acir.mT19_11-3-3-1	Acir.mT19_11-3-3-2	Acir.mT19_12-4-1-1	Acir.mT19_12-4-1-2	Acir.mT19_12-4-2-1	Acir.mT19_12-4-2-2	Acir.mT19_12-4-3-1	Acir.mT19_12-4-3-2	Acir.mT19_6-15-1-1	Acir.mT19_6-15-1-2	Acir.mT19_6-15-2-1	Acir.mT19_6-15-2-2	Acir.mT19_6-15-3-1	Acir.mT19_6-15-3-2	Acir.mT19_7-23-1-1	Acir.mT19_7-23-1-2	Acir.mT19_7-23-2-1	Acir.mT19_7-23-2-2	Acir.mT19_7-23-3-1	Acir.mT19_7-23-3-2	Acir.mT19_9-10-1-1	Acir.mT19_9-10-1-2	Acir.mT19_9-10-2-1	Acir.mT19_9-10-2-2	Acir.mT19_9-10-3-1	Acir.mT19_9-10-3-2	Acir.mT19_9-29-1-1	Acir.mT19_9-29-1-2	Acir.mT19_9-29-2-1	Acir.mT19_9-29-2-2	Acir.mT19_9-29-3-1	Acir.mT19_9-29-3-2
ACIR310F_RS26605_tcmP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108495_ACIR310F_RS0108495	319.97	0.00	0.00	0.00	178.26	108.64	0.00	0.00	29.48	18.43	71.30	44.18	0.00	0.00	14.66	0.00	0.00	0.00	0.00	0.00	15.37	20.25	26.65	0.00	0.00	22.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	503.92	0.00	0.00
ACIR310F_RS0107930_ACIR310F_RS0107930	0.00	0.00	0.00	0.00	0.00	6.87	0.00	0.00	3.71	0.00	18.30	14.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.85	8.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0108705_ACIR310F_RS0108705	0.00	0.00	0.00	0.00	98.31	63.07	0.00	0.00	139.45	188.92	142.79	201.65	158.56	0.00	0.00	378.16	0.00	257.68	0.00	0.00	135.48	131.28	36.97	14.46	35.38	98.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0111945_ACIR310F_RS0111945	0.00	0.00	0.00	0.00	19.60	7.55	0.00	0.00	29.86	8.47	21.66	29.28	66.41	0.00	0.00	0.00	0.00	14.11	0.00	0.00	9.73	5.97	12.40	0.00	19.74	20.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0113245_ACIR310F_RS0113245	0.00	786.63	152.46	0.00	48.73	61.73	0.00	0.00	136.91	71.86	114.24	64.59	0.00	0.00	0.00	0.00	0.00	190.36	0.00	0.00	153.49	225.17	111.85	72.38	310.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0111610_ACIR310F_RS0111610	0.00	0.00	0.00	0.00	19.35	0.00	0.00	0.00	27.08	0.00	5.05	5.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0107030_ACIR310F_RS0107030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.02	17.67	68.41	16.72	13.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0101610_ACIR310F_RS0101610	0.00	0.00	68.04	0.00	47.63	30.54	342.36	0.00	55.02	72.51	51.47	49.62	89.61	0.00	0.00	0.00	0.00	31.59	130.73	0.00	104.95	134.55	41.75	163.29	80.02	97.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS0103240_ACIR310F_RS0103240	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS21730_ACIR310F_RS21730	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACIR310F_RS23740_rnpB	17722.30	17677.00	80009.39	147398.76	61859.96	74711.51	82518.57	8356.64	100693.68	79193.59	71586.51	49306.38	50980.02	1228.31	2194.33	96179.88	101279.83	113939.97	128668.97	200279.11	133699.94	152146.01	51127.98	48590.31	61117.99	49880.75	59555.07	57009.53	9421.36	0.00	0.00	171.30	13545.43	0.00	14469.52	26986.95
