geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_3431_O53_3431	200.12	210.36	156.50	141.58	208.70	180.11	101.71	112.66	78.19	127.63	96.98	123.21	83.91	318.58	321.10	53.07	34.87	138.12	66.98	125.97	61.74	87.52	76.87	55.82	161.82	142.14	50.99	69.41	79.05	105.67	97.21	66.03	36.04	89.84	106.15	62.25
O53_1419_O53_1419	11.75	13.99	10.70	13.40	12.55	12.83	28.30	31.19	18.54	23.45	27.89	30.49	15.17	29.99	31.64	13.01	12.43	16.57	6.01	11.70	4.90	6.27	7.32	5.52	9.33	8.29	15.24	6.84	11.74	13.97	9.66	14.45	18.55	12.60	21.21	18.62
O53_387_uvrB	5.57	5.16	6.06	5.91	7.01	5.32	8.66	9.25	4.76	3.92	5.39	4.92	4.66	5.59	5.24	3.76	3.51	6.60	1.74	1.19	2.41	2.86	2.19	2.47	3.26	3.58	2.20	2.88	4.70	2.97	3.52	1.27	1.64	1.81	2.77	2.25
O53_2898_O53_2898	4.87	7.27	4.39	1.80	6.04	5.12	7.75	8.40	10.43	2.19	15.08	10.97	8.10	7.46	12.37	2.25	2.56	7.65	2.02	2.76	1.56	1.25	1.81	1.18	0.76	2.12	1.69	0.84	2.53	2.33	0.39	0.96	1.17	0.62	1.58	1.98
O53_1175_mdnC	11.72	11.13	12.83	10.22	17.00	23.86	5.97	3.32	5.06	2.87	4.25	5.96	14.36	19.84	35.16	15.89	14.69	29.12	8.51	4.25	3.01	6.80	13.81	6.89	9.75	8.85	14.31	11.04	15.32	5.56	7.76	6.96	12.90	12.64	15.17	20.08
O53_4566_O53_4566	0.97	0.77	1.37	1.10	1.84	2.58	5.29	5.15	5.17	5.53	7.21	8.65	4.95	5.23	4.89	8.31	7.08	5.38	1.28	2.64	3.72	3.02	3.43	3.94	3.92	5.20	3.02	3.01	6.43	4.55	1.99	2.91	3.73	2.86	5.53	6.09
O53_398_O53_398	4387.98	3384.37	2794.95	2747.71	1940.72	1884.27	6304.87	7376.95	1670.00	2077.95	503.75	465.12	2695.66	2728.56	1509.00	653.89	614.21	1084.99	1821.08	1794.28	1565.26	2092.22	2676.21	1477.69	1700.06	1463.87	1747.73	1595.82	1860.19	1420.50	2340.13	2285.04	1791.05	2747.21	1158.74	1516.29
O53_1308_O53_1308	19.49	21.40	13.56	13.92	21.82	22.26	9.24	10.48	6.91	8.22	6.02	6.63	37.86	28.17	29.21	49.42	30.84	28.61	10.93	21.63	15.60	15.31	24.10	14.57	24.24	19.10	14.04	12.62	18.23	14.72	14.95	13.79	18.46	17.33	31.48	28.49
O53_2102_O53_2102	31.82	45.67	41.01	46.67	52.83	51.15	77.68	65.90	98.18	86.71	109.85	113.00	61.24	46.94	52.10	82.07	91.73	48.54	58.21	71.49	51.21	88.29	78.58	74.25	79.44	76.80	36.23	57.97	105.14	95.43	41.86	53.55	68.15	62.73	68.32	72.96
O53_3956_O53_3956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_3398_O53_3398	14.83	15.70	10.21	1.25	1.88	0.83	3.92	5.86	2.93	2.64	0.51	0.24	1.60	0.00	0.00	0.00	0.00	0.00	6.67	0.00	7.22	17.38	10.10	2.00	17.16	4.98	5.02	4.86	4.39	4.36	6.91	21.66	4.08	9.13	0.68	2.64
O53_2763_O53_2763	1.79	2.37	1.98	0.69	2.82	4.44	4.01	1.72	2.56	3.83	5.49	7.16	2.95	3.12	8.62	8.10	14.35	18.51	0.87	0.78	0.45	1.14	1.97	0.87	0.79	1.06	1.23	0.54	1.31	1.25	0.20	1.23	0.84	0.51	10.66	10.83
O53_4347_O53_4347	0.00	0.00	138.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.99	0.00	0.00	242.35	0.00	0.00	34.73	0.00	0.00	0.00	0.00	0.00	0.00
O53_748_hsdR	3.97	3.96	3.98	3.73	6.47	5.89	5.00	4.98	4.89	5.32	6.30	8.19	15.98	12.50	16.86	23.20	13.48	8.89	6.98	11.66	7.56	11.55	8.24	14.15	10.46	9.79	8.86	11.75	6.47	4.00	2.86	2.12	5.91	5.26	12.27	14.40
O53_463_lgrD	10.83	10.91	8.74	7.80	15.24	15.35	5.34	3.07	3.44	1.53	3.82	3.73	11.53	9.16	10.54	9.58	4.04	12.40	2.46	3.80	1.26	1.34	3.54	1.98	1.17	1.95	2.19	1.08	1.46	0.89	2.22	0.71	1.94	0.66	3.99	3.74
O53_3797_O53_3797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4152_O53_4152	40.75	52.49	38.28	38.19	53.37	51.32	41.63	38.85	22.99	20.82	25.39	24.05	50.62	17.84	22.10	55.80	72.88	66.33	20.74	40.76	19.31	24.22	50.51	27.60	52.87	49.51	37.00	26.29	54.12	45.90	52.73	42.83	50.30	46.10	48.12	51.38
O53_5223_atpA	488.95	559.25	538.40	426.44	417.23	348.33	314.93	277.99	104.99	130.91	134.69	181.96	670.57	302.51	288.25	326.78	118.61	90.53	454.09	589.96	484.42	523.97	501.32	301.49	574.39	528.34	348.47	306.64	250.37	193.88	571.01	523.87	396.48	392.00	227.66	252.77
O53_370_cbiT	17.45	17.18	18.73	18.68	17.94	21.54	47.87	48.24	30.43	38.99	40.40	31.73	25.06	21.03	24.99	21.13	39.79	44.88	11.73	4.47	6.34	12.14	13.16	14.73	13.56	11.68	12.70	14.73	22.81	14.73	16.96	12.57	11.64	11.44	19.87	17.53
O53_4041_O53_4041	0.78	0.94	0.79	0.50	0.63	1.21	0.08	0.46	0.74	0.39	1.17	1.05	1.06	1.45	2.66	0.67	0.75	0.33	0.77	0.00	0.32	0.00	0.55	0.57	0.83	1.08	0.41	0.33	0.49	0.13	0.24	0.30	0.15	0.00	0.18	0.53
O53_1663_O53_1663	4.74	3.73	1.82	3.18	5.13	5.83	9.96	12.00	10.96	8.15	11.46	13.83	14.79	11.26	15.04	17.10	9.91	5.07	6.99	8.68	5.00	8.44	7.08	8.86	5.49	4.27	5.43	7.19	5.59	4.98	4.11	8.46	3.39	3.31	9.45	14.98
O53_5380_msrA	226.85	204.02	186.74	162.69	212.74	170.15	731.50	732.90	580.84	620.54	893.65	832.26	276.78	202.15	320.46	186.37	232.94	242.09	140.24	133.91	185.84	177.79	151.75	104.57	176.28	170.26	169.52	169.78	263.71	195.69	217.64	180.19	158.20	123.32	129.57	138.66
O53_1080_O53_1080	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1822_O53_1822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_5390_pcnB	8.28	8.06	8.24	5.79	10.86	11.94	18.79	15.29	9.72	12.28	12.74	12.09	20.97	23.58	31.97	22.98	14.11	6.08	10.06	8.24	9.09	7.47	8.07	12.00	13.50	11.74	9.25	13.40	13.27	12.44	8.21	7.63	7.53	6.56	13.61	15.88
O53_5330_O53_5330	2.21	1.10	0.00	0.00	1.21	1.01	2.95	3.01	1.18	2.11	1.45	2.55	1.72	3.02	2.84	0.00	0.00	1.90	1.97	0.00	0.00	0.61	0.56	1.35	0.00	2.00	0.00	0.00	1.79	2.17	0.00	0.00	5.75	0.82	0.00	0.24
O53_2622_mtnW	48.98	54.91	65.25	55.88	57.36	58.59	95.95	108.55	58.29	54.06	59.71	58.22	68.21	36.42	59.88	106.23	75.51	55.95	65.24	74.08	56.92	51.98	68.96	87.26	85.44	88.30	102.40	107.17	84.03	86.49	92.93	75.16	75.84	82.32	67.14	67.30
O53_1757_tsf	355.42	376.26	500.41	404.84	567.12	510.64	395.88	337.92	402.66	333.89	368.25	398.76	669.93	456.50	640.95	717.02	266.38	338.45	425.27	356.35	362.82	361.27	297.59	277.20	368.55	358.34	373.09	370.46	249.82	179.59	322.21	278.76	340.67	253.99	408.50	456.00
O53_383_O53_383	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
