"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_3431_O53_3431",410.48,298.08,388.81,214.37,205.82,220.19,402.49,374.17,172.99,192.95,149.26,132.69,303.96,120.4,184.72,163.24,125.88,168.4
"O53_1419_O53_1419",25.74,24.1,25.38,59.49,41.99,58.38,45.16,44.65,29,17.71,11.17,12.84,17.62,22.08,25.71,24.11,31.15,39.83
"O53_387_uvrB",10.73,11.97,12.33,17.91,8.68,10.31,10.25,9,10.11,2.93,5.27,4.66,6.84,5.08,7.67,4.79,3.45,5.02
"O53_2898_O53_2898",12.14,6.19,11.16,16.15,12.62,26.05,15.56,14.62,10.21,4.78,2.81,2.99,2.88,2.53,4.86,1.35,1.79,3.56
"O53_1175_mdnC",22.85,23.05,40.86,9.29,7.93,10.21,34.2,51.05,43.81,12.76,9.81,20.7,18.6,25.35,20.88,14.72,25.54,35.25
"O53_4566_O53_4566",1.74,2.47,4.42,10.44,10.7,15.86,10.18,13.2,12.46,3.92,6.74,7.37,9.12,6.03,10.98,4.9,6.59,11.62
"O53_398_O53_398",7772.35,5542.66,3824.99,13681.82,3747.95,968.87,5424.22,2162.89,1699.2,3615.36,3657.48,4153.9,3163.93,3343.55,3280.69,4625.17,4538.26,2675.03
"O53_1308_O53_1308",40.89,27.48,44.08,19.72,15.13,12.65,66.03,78.63,59.45,32.56,30.91,38.67,43.34,26.66,32.95,28.74,35.79,59.97
"O53_2102_O53_2102",77.49,87.68,103.98,143.58,184.89,222.85,108.18,134.17,140.27,129.7,139.5,152.83,156.24,94.2,200.57,95.41,130.88,141.28
"O53_3956_O53_3956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3398_O53_3398",30.53,11.46,2.71,9.78,5.57,0.75,1.6,0,0,6.67,24.6,12.1,22.14,9.88,8.75,28.57,13.21,3.32
"O53_2763_O53_2763",4.16,2.67,7.26,5.73,6.39,12.65,6.07,16.72,32.86,1.65,1.59,2.84,1.85,1.77,2.56,1.43,1.35,21.49
"O53_4347_O53_4347",0,138.35,0,0,0,0,0,0,0,0,0,41.99,0,242.35,34.73,0,0,0
"O53_748_hsdR",7.93,7.71,12.36,9.98,10.21,14.49,28.48,40.06,22.37,18.64,19.11,22.39,20.25,20.61,10.47,4.98,11.17,26.67
"O53_463_lgrD",21.74,16.54,30.59,8.41,4.97,7.55,20.69,20.12,16.44,6.26,2.6,5.52,3.12,3.27,2.35,2.93,2.6,7.73
"O53_3797_O53_3797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4152_O53_4152",93.24,76.47,104.69,80.48,43.81,49.44,68.46,77.9,139.21,61.5,43.53,78.11,102.38,63.29,100.02,95.56,96.4,99.5
"O53_5223_atpA",1048.2,964.84,765.56,592.92,235.9,316.65,973.08,615.03,209.14,1044.05,1008.39,802.81,1102.73,655.11,444.25,1094.88,788.48,480.43
"O53_370_cbiT",34.63,37.41,39.48,96.11,69.42,72.13,46.09,46.12,84.67,16.2,18.48,27.89,25.24,27.43,37.54,29.53,23.08,37.4
"O53_4041_O53_4041",1.72,1.29,1.84,0.54,1.13,2.22,2.51,3.33,1.08,0.77,0.32,1.12,1.91,0.74,0.62,0.54,0.15,0.71
"O53_1663_O53_1663",8.47,5,10.96,21.96,19.11,25.29,26.05,32.14,14.98,15.67,13.44,15.94,9.76,12.62,10.57,12.57,6.7,24.43
"O53_5380_msrA",430.87,349.43,382.89,1464.4,1201.38,1725.91,478.93,506.83,475.03,274.15,363.63,256.32,346.54,339.3,459.4,397.83,281.52,268.23
"O53_1080_O53_1080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1822_O53_1822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5390_pcnB",16.34,14.03,22.8,34.08,22,24.83,44.55,54.95,20.19,18.3,16.56,20.07,25.24,22.65,25.71,15.84,14.09,29.49
"O53_5330_O53_5330",3.31,0,2.22,5.96,3.29,4,4.74,2.84,1.9,1.97,0.61,1.91,2,0,3.96,0,6.57,0.24
"O53_2622_mtnW",103.89,121.13,115.95,204.5,112.35,117.93,104.63,166.11,131.46,139.32,108.9,156.22,173.74,209.57,170.52,168.09,158.16,134.44
"O53_1757_tsf",731.68,905.25,1077.76,733.8,736.55,767.01,1126.43,1357.97,604.83,781.62,724.09,574.79,726.89,743.55,429.41,600.97,594.66,864.5
"O53_383_O53_383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4134_O53_4134",0,0,20.6,0,0,15.27,66.32,15.03,0,0,0,0,0,0,0,0,0,0
"O53_500_O53_500",117.86,77.24,97.62,142.53,103.53,111.61,111.04,93.88,129.21,100.69,88.95,104.33,139.17,110.73,139.32,89.02,44.96,82.34
"O53_2295_O53_2295",15.43,15.79,30.74,72.72,45.14,99.95,49.93,63.33,81.27,18.6,20.92,20.11,9.2,6.25,18.16,7.25,9.09,42.98
"O53_3452_O53_3452",4.99,6.49,7.31,10.94,9.85,8.9,18.14,20.83,10.18,5.29,3.87,2.37,1.36,3.59,2.54,0.41,1.69,8.96
"O53_2161_purB",231.16,290.78,241.13,278.52,197.88,133.42,206.26,247.7,106.75,318.99,194.58,243.67,418.82,287.55,180.83,142.82,166.56,174.55
"O53_2811_O53_2811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4050_O53_4050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_504_O53_504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3774_O53_3774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_860_O53_860",3.83,5.94,5.98,25.63,16.54,24.49,12.91,17.32,16.61,6.09,5.64,7.45,6.06,6.69,8.24,4.79,5.12,9.56
"O53_199_O53_199",755.14,380.42,475.5,31.27,14.95,18.46,225.38,11.7,89.05,194.74,99.2,251.12,625.97,269.35,600.84,910.36,409.68,140.92
"O53_4603_O53_4603",7.05,8.43,9.84,9.12,25.75,21.06,29.86,20.25,35.71,7.1,12.01,10.52,9.15,6.07,5.86,0.78,1.74,25.01
"O53_3775_O53_3775",0,0,27.45,36.18,18.31,27.84,42.54,43.49,0,4.55,68.39,75.45,35.41,104.31,5.15,49.24,11.94,18.57
"O53_1180_O53_1180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5234_cspR",9.6,9.71,9.84,20.25,13.7,15.91,17.91,17.17,14.76,14.94,8.74,11.56,5.4,4.51,9.48,3.11,10.17,7.47
"O53_3009_O53_3009",0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0
"O53_770_O53_770",9.23,4.96,8.58,2.21,2.52,6.85,25.72,26,6.55,5.05,3.29,3.23,7.34,4.33,8.17,5.92,3.13,5.19
"O53_5175_O53_5175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
