"variable","block"
"UniRef90_I4F7I6","mG"
"UniRef90_I4FGU6","mG"
"UniRef90_I4FAZ7","mG"
"UniRef90_I4I2G7","mG"
"UniRef90_I4F676","mG"
"UniRef90_I4GFT7","mG"
"UniRef90_I4F7Q6","mG"
"UniRef90_I4FE43","mG"
"UniRef90_I4F7R3","mG"
"UniRef90_I4F9I5","mG"
"UniRef90_I4I3S1","mG"
"UniRef90_I4FE55","mG"
"UniRef90_I4HXM6","mG"
"UniRef90_I4IRD8","mG"
"UniRef90_L8P2K7","mG"
"UniRef90_I4F7R4","mG"
"UniRef90_I4F7F2","mG"
"UniRef90_I4GIR1","mG"
"UniRef90_S3JC93","mG"
"UniRef90_I4HFS2","mG"
"UniRef90_I4FAN5","mG"
"UniRef90_I4FB44","mG"
"UniRef90_I4GEB3","mG"
"UniRef90_I4GY07","mG"
"UniRef90_I4F7Q5","mG"
"UniRef90_I4FD28","mG"
"UniRef90_S3JE43","mG"
"UniRef90_I4FAI4","mG"
"UniRef90_I4F5R3","mG"
"UniRef90_I4I1M1","mG"
"UniRef90_I4FFI1","mG"
"UniRef90_I4F7F0","mG"
"UniRef90_I4FJ79","mG"
"UniRef90_L8NT78","mG"
"UniRef90_L8NQ61","mG"
"UniRef90_S3JG77","mG"
"UniRef90_S3JYC3","mG"
"UniRef90_I4FG82","mG"
"UniRef90_L7ECR2","mG"
"UniRef90_S3J2B3","mG"
"UniRef90_L7E852","mG"
"UniRef90_Q8XV24","mG"
"UniRef90_A4G9R4","mG"
"UniRef90_C7M2W7","mG"
"UniRef90_A7HSE8","mG"
"UniRef90_Q2KZ21","mG"
"UniRef90_Q04R63","mG"
"UniRef90_P60866","mG"
"UniRef90_C7XG97","mG"
"UniRef90_S6VAU1","mG"
"UniRef90_J9H6C5","mG"
"UniRef90_I4GID8","mG"
"UniRef90_I4GFB5","mG"
"UniRef90_F1W0G4","mG"
"UniRef90_UPI0002EA5A26","mG"
"UniRef90_C3PKQ9","mG"
"UniRef90_G0AEC3","mG"
"UniRef90_F3LQ87","mG"
"UniRef90_Q2G8X1","mG"
"UniRef90_S9ZP89","mG"
"UniRef90_Q12GX0","mG"
"UniRef90_A1VPC7","mG"
"UniRef90_UPI0003B6AFC0","mG"
"UniRef90_F5Y550","mG"
"UniRef90_F5Y2W6","mG"
"UniRef90_UPI00035C5D59","mG"
"UniRef90_L7E527","mG"
"UniRef90_L7EBS8","mG"
"UniRef90_L8NLJ5","mG"
"UniRef90_L8NJZ9","mG"
"UniRef90_L8N3R9","mG"
"UniRef90_F1VVL9","mG"
"UniRef90_Q0C3E2","mG"
"UniRef90_Y0KEJ0","mG"
"UniRef90_I4IHL7","mG"
"UniRef90_B2IWL9","mG"
"UniRef90_K9UDU7","mG"
"UniRef90_F5Y1F1","mG"
"UniRef90_Q5X860","mG"
"UniRef90_L7DZI9","mG"
"UniRef90_I4IPL6","mG"
"UniRef90_I4H6X1","mG"
"UniRef90_Y0KKE3","mG"
"UniRef90_A6GPI0","mG"
"UniRef90_A7VEU0","mG"
"UniRef90_D9VTN3","mG"
"UniRef90_I4FBB3","mG"
"UniRef90_L8NPD3","mG"
"UniRef90_L8NPP3","mG"
"UniRef90_B0JNB4","mG"
"UniRef90_I4HPJ8","mG"
"UniRef90_L8NQT3","mG"
"UniRef90_I4I2B5","mG"
"UniRef90_B0JHK7","mG"
"UniRef90_I4F7R2","mG"
"UniRef90_I4FIN2","mG"
"UniRef90_I4FCQ3","mG"
"UniRef90_S3KJM4","mG"
"UniRef90_I4FEU1","mG"
"UniRef90_I4I5X2","mG"
"UniRef90_I4FHX6","mG"
"UniRef90_I4I050","mG"
"UniRef90_I4FFY6","mG"
"UniRef90_I4HRH1","mG"
"UniRef90_I4HPJ0","mG"
"UniRef90_I4F6B1","mG"
"UniRef90_S3JQB5","mG"
"UniRef90_I4FG78","mG"
"UniRef90_I4FD25","mG"
"UniRef90_I4GYN1","mG"
"UniRef90_I4F6D8","mG"
"UniRef90_I4F7F1","mG"
"UniRef90_I4FII0","mG"
"UniRef90_I4HRG6","mG"
"UniRef90_I4GKK1","mG"
"UniRef90_I4FFY7","mG"
"UniRef90_I4FAE2","mG"
"UniRef90_I4H9Q4","mG"
"UniRef90_I4F6H4","mG"
"UniRef90_I4FAN2","mG"
"UniRef90_I4GML3","mG"
"UniRef90_I4FSF3","mG"
"UniRef90_I4FD29","mG"
"UniRef90_S3J3T9","mG"
"UniRef90_I4F5T0","mG"
"UniRef90_I4F672","mG"
"UniRef90_I4HRG8","mG"
"UniRef90_I4FA67","mG"
"UniRef90_I4FAK8","mG"
"UniRef90_I4F5S9","mG"
"UniRef90_I4HFN0","mG"
"UniRef90_I4F896","mG"
"UniRef90_I4FAE1","mG"
"UniRef90_I4IVE1","mG"
"UniRef90_I4GK77","mG"
"UniRef90_I4HRG5","mG"
"UniRef90_I4FCQ2","mG"
"UniRef90_I4IRN2","mG"
"UniRef90_I4HUA6","mG"
"UniRef90_I4FCP7","mG"
"UniRef90_I4GAT8","mG"
"UniRef90_I4HPI8","mG"
"UniRef90_I4FGA3","mG"
"UniRef90_I4GUD9","mG"
"UniRef90_I4FUC0","mG"
"UniRef90_B0JWY7","mG"
"UniRef90_I4HNZ3","mG"
"UniRef90_B0JNQ9","mG"
"UniRef90_I4FYT9","mG"
"UniRef90_I4HIJ0","mG"
"UniRef90_I4HRK1","mG"
"UniRef90_I4F866","mG"
"UniRef90_I4H6S5","mG"
"UniRef90_I4FA44","mG"
"UniRef90_I4FAL3","mG"
"UniRef90_I4HRJ8","mG"
"UniRef90_L7E5E6","mG"
"UniRef90_I4F834","mG"
"UniRef90_I4FII1","mG"
"UniRef90_I4HZN7","mG"
"UniRef90_I4I2U1","mG"
"UniRef90_I4GKJ9","mG"
"UniRef90_I4GNN3","mG"
"UniRef90_I4HUG7","mG"
"UniRef90_I4FCP9","mG"
"UniRef90_S3JCA0","mG"
"UniRef90_I4I1X9","mG"
"UniRef90_S3JFS3","mG"
"UniRef90_I4FCP4","mG"
"UniRef90_S3JGN9","mG"
"UniRef90_S3JG07","mG"
"UniRef90_I4F8G7","mG"
"UniRef90_I4F8G9","mG"
"UniRef90_L7E7W7","mG"
"UniRef90_B0JG50","mG"
"UniRef90_I4F7R1","mG"
"UniRef90_L7EAP4","mG"
"UniRef90_I4FG79","mG"
"UniRef90_I4F8G8","mG"
"UniRef90_S3JJW4","mG"
"UniRef90_I4FGV9","mG"
"UniRef90_L8NT90","mG"
"UniRef90_B0JWZ1","mG"
"UniRef90_S3JIZ1","mG"
"UniRef90_I4G0E0","mG"
"UniRef90_I4I918","mG"
"UniRef90_I4FH87","mG"
"UniRef90_I4H1G1","mG"
"UniRef90_L8NZQ5","mG"
"UniRef90_I4I3T3","mG"
"UniRef90_I4F6H5","mG"
"UniRef90_L8P1P1","mG"
"UniRef90_B0JK59","mG"
"UniRef90_I4G318","mG"
"UniRef90_I4F9L0","mG"
"UniRef90_I4F7Q8","mG"
"UniRef90_I4FGU4","mG"
"UniRef90_I4FGL6","mG"
"UniRef90_I4F6D9","mG"
"UniRef90_B0JWY8","mG"
"UniRef90_I4FFY8","mG"
"UniRef90_I4HS15","mG"
"UniRef90_I4F8N0","mG"
"UniRef90_I4F7Q9","mG"
"UniRef90_I4FCQ4","mG"
"UniRef90_I4FGA7","mG"
"UniRef90_S3IZM3","mG"
"UniRef90_B0JMK7","mG"
"UniRef90_I4HHI3","mG"
"UniRef90_I4GF61","mG"
"UniRef90_I4FHQ1","mG"
"UniRef90_I4HUR9","mG"
"UniRef90_I4FCB7","mG"
"UniRef90_I4FFY5","mG"
"UniRef90_I4F8G6","mG"
"UniRef90_I4FBK1","mG"
"UniRef90_I4INA6","mG"
"UniRef90_I4HRI9","mG"
"UniRef90_I4FYS6","mG"
"UniRef90_I4F7H6","mG"
"UniRef90_I4FA63","mG"
"UniRef90_B0JWY9","mG"
"UniRef90_I4FAI5","mG"
"UniRef90_I4FDR6","mG"
"UniRef90_I4GU07","mG"
"UniRef90_I4HI33","mG"
"UniRef90_I4F6Q4","mG"
"UniRef90_I4HRV4","mG"
"UniRef90_I4HS18","mG"
"UniRef90_L8NLW6","mG"
"UniRef90_I4FHH9","mG"
"UniRef90_I4HFN1","mG"
"UniRef90_I4F6G6","mG"
"UniRef90_I4GF60","mG"
"UniRef90_I4F6Q5","mG"
"UniRef90_I4FBJ8","mG"
"UniRef90_I4F827","mG"
"UniRef90_I4FAI8","mG"
"UniRef90_I4FAI1","mG"
"UniRef90_I4FEB3","mG"
"UniRef90_S3J5W6","mG"
"UniRef90_S3JHY5","mG"
"UniRef90_I4HWD5","mG"
"UniRef90_I4I762","mG"
"UniRef90_I4F8P6","mG"
"UniRef90_I4IFC8","mG"
"UniRef90_I4HI08","mG"
"UniRef90_I4F9L1","mG"
"UniRef90_I4III2","mG"
"UniRef90_I4G3R1","mG"
"UniRef90_I4HKD3","mG"
"UniRef90_L8NSE2","mG"
"UniRef90_I4I5X3","mG"
"UniRef90_I4F6Y2","mG"
"UniRef90_I4FGL7","mG"
"UniRef90_I4HS32","mG"
"UniRef90_I4FGV8","mG"
"UniRef90_I4FGS5","mG"
"UniRef90_I4FBE8","mG"
"UniRef90_S3J9G0","mG"
"UniRef90_I4FBL6","mG"
"UniRef90_I4FCR5","mG"
"UniRef90_I4HWD3","mG"
"UniRef90_I4GNJ7","mG"
"UniRef90_I4FKW1","mG"
"UniRef90_I4FE77","mG"
"UniRef90_I4GHZ4","mG"
"UniRef90_I4FFZ2","mG"
"UniRef90_L7E9Y5","mG"
"UniRef90_B0JWZ0","mG"
"UniRef90_I4FG98","mG"
"UniRef90_I4HSK9","mG"
"UniRef90_B0JRJ2","mG"
"UniRef90_L7E4X8","mG"
"UniRef90_I4I265","mG"
"UniRef90_L7E9K3","mG"
"UniRef90_I4IEW3","mG"
"UniRef90_I4HZJ5","mG"
"UniRef90_I4FUC1","mG"
"UniRef90_I4FY34","mG"
"UniRef90_S3K3B1","mG"
"UniRef90_I4F6C5","mG"
"UniRef90_I4F7F4","mG"
"UniRef90_I4HS43","mG"
"UniRef90_I4FDZ4","mG"
"UniRef90_I4FYR7","mG"
"UniRef90_I4GYR9","mG"
"UniRef90_I4FGW0","mG"
"UniRef90_I4F7R0","mG"
"UniRef90_I4IXH4","mG"
"UniRef90_S3J7V7","mG"
"UniRef90_L8NIB4","mG"
"UniRef90_I4HRH3","mG"
"UniRef90_I4GLG1","mG"
"UniRef90_L8NS71","mG"
"UniRef90_I4I304","mG"
"UniRef90_I4F6Y4","mG"
"UniRef90_I4F6D1","mG"
