SampleID,T,pH,Chl,PC,DO,DTN,NH4_N,NO3_N,NO2_N,DTP,Pi,MC,PC/Chl,MC/PC,DTN/DTP
mG19_06.15.1,25.52,8,10.85,7.34,5.87,1.2535,0.1089,0.3434,0.0263,0.6996,0.670196,25.456808,0.676497696,3.468229973,1.791738136
mG19_06.15.2,26.573,6.9,4.45,0.76,5.19,1.5372,0.1644,0.6693,0.0653,0.2239,0.1905985,14.658668,0.170786517,19.28772105,6.865564984
mG19_06.15.3,27.718,8,6.19,3.09,12.86,0.6511,0.0523,0.0548,0.0017,0.9319,0.504858,12.06509,0.499192246,3.904559871,0.698680116
mG19_07.23.1,32.481,8,7.93,7.88,13.46,1.107,0.1444,0.217,0.029,0.3969,0.363959,2.5576422,0.99369483,0.324573883,2.789115646
mG19_07.23.2,33.133,8.1,7.92,4.59,14.7,0.9696,0.0711,0.2294,0.0303,0.1518,0.1262944,1.9845824,0.579545455,0.432370893,6.387351779
mG19_07.23.3,30.747,8,9.6,2.4,10.89,0.7874,0.0666,0.1994,0.1291,0.1271,0.0885367,2.2292474,0.25,0.928853083,6.195121951
mG19_09.10.1,29.327,7.8,8.2,2.21,11.47,1.5795,0.0543,0.8916,0.1132,0.1704,0.1446669,4.1023326,0.269512195,1.856259095,9.269366197
mG19_09.10.2,31.238,7.2,8.56,1.11,10.12,1.5885,0.2868,0.7421,0.0722,0.2181,0.1902321,4.4122416,0.129672897,3.974992432,7.283356259
mG19_09.10.3,32.182,8,11.19,3.23,14.35,0.5851,0.0563,0.0297,0.0017,0.1327,0.1013159,3.521661,0.288650581,1.090297523,4.40919367
mG19_09.29.1,26.763,8,10.1,11.26,17.75,0.9392,0.0741,0.2228,0.0282,0.125,0.1090693,69.07902,1.114851485,6.134904085,7.5136
mG19_09.29.2,26.465,8.1,8.63,2.56,14.04,0.8116,0.0431,0.1754,0.0221,0.272,0.2577677,74.13543,0.296639629,28.95915234,2.983823529
mG19_09.29.3,27.457,7.8,16.76,12.58,16.23,0.7493,0.063,0.0314,0.0043,0.1264,0.0882921,60.678855,0.750596659,4.823438394,5.928006329
mG19_11.3.1,19.376,7.8,3.4,4.2,13.11,1.4395,0.027,0.8149,0.018,0.1034,0.0405487,25.27195,1.235294118,6.017130952,13.92166344
mG19_11.3.2,19.916,7.6,10.63,4.7,13.31,1.5446,0.0288,0.8713,0.0271,0.0903,0.021742,25.97876,0.442144873,5.527395745,17.10520487
mG19_11.3.3,19.931,7.4,14.01,1.15,11.78,1.6728,0.1737,0.9171,0.0286,0.0785,0.0276707,4.2948024,0.082084226,3.734610783,21.30955414
mG19_12.4.1,9.527,7,0.39,0.05,11.43,2.1611,0.4183,1.339,0.0368,0.1142,0.0634634,2.5957012,0.128205128,51.914024,18.92381786
mG19_12.4.2,10.146,7.1,1.19,0.16,10.22,2.2785,0.516,1.1494,0.0299,0.1023,0.0556318,1.1874795,0.134453782,7.421746875,22.27272727
mG19_12.4.3,9.308,7.3,2.33,0.33,12.05,0.8297,0.1424,0.1988,0.0054,0.0651,0.038246,22.98841,0.141630901,69.66184848,12.74500768
