GeneID	mG11-3-1	mG11-3-2	mG11-3-3	mG12-4-1	mG12-4-2	mG12-4-3	mG6-15-1	mG6-15-2	mG6-15-3	mG7-23-1	mG7-23-2	mG7-23-3	mG9-10-1	mG9-10-2	mG9-10-3	mG9-29-1	mG9-29-2	mG9-29-3
O53_1939	31	29	30	26	26	13	9	2	5	23	20	31	37	30	36	37	34	19
O53_3443	5	5	3	0	0	0	0	0	0	0	1	0	8	2	1	5	1	0
O53_4453	51	40	38	39	38	42	34	26	32	40	47	43	46	51	48	48	48	29
O53_47	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	5	1	0
O53_108	20	21	21	3	19	5	6	13	3	13	11	23	19	28	10	21	12	10
O53_3423	5	5	4	7	2	1	2	1	0	5	6	6	9	6	9	6	7	1
O53_1455	4	3	3	3	3	2	3	3	3	5	4	6	5	4	9	3	7	3
O53_515_aat	25	26	24	16	8	7	8	7	4	22	24	25	32	24	27	32	26	7
O53_4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_2368	47	65	61	61	40	41	42	35	27	57	55	56	64	61	64	69	74	41
O53_3972	3	3	5	7	4	4	3	4	0	4	4	6	8	6	6	9	7	4
O53_4324	0	1	0	0	0	0	0	0	0	0	0	2	12	4	5	12	3	0
O53_3552_arsH	25	31	31	39	30	27	25	24	14	27	29	30	37	35	34	32	37	24
O53_2290	25	32	22	27	28	38	29	34	19	29	26	29	47	38	38	18	31	31
O53_2545	7	8	10	5	7	5	9	10	3	8	9	7	17	8	10	19	16	5
O53_2013	13	13	9	7	4	4	7	7	0	12	13	11	9	14	9	9	9	7
O53_3679_mutT	14	15	12	10	8	6	8	7	11	18	13	14	21	19	20	23	23	6
O53_1486_rluD	19	27	28	29	19	16	17	14	13	36	32	38	44	34	39	38	37	14
O53_4145_pmbA	40	46	44	41	30	20	23	21	16	43	51	42	49	49	47	53	46	23
O53_270_petF-1	9	9	9	3	2	0	1	0	3	7	8	6	12	10	11	9	9	3
O53_5305	32	27	32	27	9	4	9	5	4	24	24	23	40	33	36	25	29	5
O53_4440_aroA	45	55	52	58	38	39	42	35	21	47	49	44	58	46	49	56	45	38
O53_3622	22	24	21	23	19	19	18	18	12	18	18	18	17	15	16	19	14	21
O53_2887_mrdA	59	75	71	62	64	68	60	51	49	71	73	71	77	69	73	61	64	55
O53_128	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0
O53_4925	14	14	10	0	1	1	0	0	1	0	0	0	11	4	1	16	3	0
O53_1838_rplE	8	8	8	8	1	1	0	0	0	8	6	9	14	13	16	13	9	0
O53_3289	14	16	22	23	24	27	14	21	1	17	19	17	22	25	22	19	22	22
O53_4386_dps	19	18	18	14	12	15	8	5	10	14	15	15	19	16	15	14	15	11
